urhobo,english
"16Ọghẹnẹ da ma irhukpẹ ride ive, urhukpẹ rode na kọye ri sun uvo, urhukpẹ re otete na kọye ri sun ason, ọ ke je ma isio rhe.",15and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so.
"Ọghẹnẹ da ma irhukpẹ ride ive, urhukpẹ rode na kọye ri sun uvo, urhukpẹ re otete na kọye ri sun ason, ọ ke je ma isio rhe.",and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so.
"17Ọghẹnẹ de phi ayen phihọ irharheghe rẹ odjuvwu na re ọ vwẹ orẹmrẹ kẹ akpọ na,","16Then God made two great lights: the#Ps. 136:8greater light to rule the day, and the#Deut. 17:3; Ps. 8:3lesser light to rule the night.Hemade#Deut. 4:19; Job 38:7; Is. 40:26the stars also."
"Ọghẹnẹ de phi ayen phihọ irharheghe rẹ odjuvwu na re ọ vwẹ orẹmrẹ kẹ akpọ na,",Then God made two great lights: the
"18ri sun vwẹ enu rẹ uvo vẹ ason na, kugbe rere e rha hẹriẹ ebrin vwo nẹ orẹmrẹ. Ọghẹnẹ da mrẹ nẹ oyoma.",#Ps. 136:8
"ri sun vwẹ enu rẹ uvo vẹ ason na, kugbe rere e rha hẹriẹ ebrin vwo nẹ orẹmrẹ. Ọghẹnẹ da mrẹ nẹ oyoma.",Ps. 136:8
19Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹne.,"greater light to rule the day, and the"
Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹne.,#Deut. 17:3; Ps. 8:3
"20Ọghẹnẹ da ta, Gbe jẹn obo ri vwo arhọ ejobi vọn evun rẹ ame na, rere ephran rhan vwẹ enu rẹ akpọ na vwẹ irharheghe rẹ odjuvwu.",Deut. 17:3; Ps. 8:3
"Ọghẹnẹ da ta, Gbe jẹn obo ri vwo arhọ ejobi vọn evun rẹ ame na, rere ephran rhan vwẹ enu rẹ akpọ na vwẹ irharheghe rẹ odjuvwu.",lesser light to rule the night.
"21Etiyin Ọghẹnẹ da ma eranvwe ride na, kugbe eranvwe keranvwe ekpokpọ re yan re rhẹrhẹ, re vọn evun rẹ ame na, dohwo doka rọye, kugbe ọphran kọphran ro vwo ibekpe dọphran doghere rọye. Ọghẹnẹ da mrẹ nẹ oyoma.",made
"Etiyin Ọghẹnẹ da ma eranvwe ride na, kugbe eranvwe keranvwe ekpokpọ re yan re rhẹrhẹ, re vọn evun rẹ ame na, dohwo doka rọye, kugbe ọphran kọphran ro vwo ibekpe dọphran doghere rọye. Ọghẹnẹ da mrẹ nẹ oyoma.",#Deut. 4:19; Job 38:7; Is. 40:26
"22Ọghẹnẹ da nẹ ẹrhovwo kẹ ayen tanẹ, We vwiẹ ri we bun phihọ re wa vọn ame rẹ urhie na, rere ephran rhe bun phihọ vwẹ enu rẹ akpọ na.",Deut. 4:19; Job 38:7; Is. 40:26
"Ọghẹnẹ da nẹ ẹrhovwo kẹ ayen tanẹ, We vwiẹ ri we bun phihọ re wa vọn ame rẹ urhie na, rere ephran rhe bun phihọ vwẹ enu rẹ akpọ na.",the stars also.
23Te ovwọnvwọn te irhiọke da dia ẹdẹ riyori.,"17God set them in the firmament of the#Gen. 15:5; Jer. 33:20, 25heavens to give light on the earth,"
Te ovwọnvwọn te irhiọke da dia ẹdẹ riyori.,God set them in the firmament of the
"24Ọghẹnẹ da ta, Gbe jẹn akpọ na vwẹ eranvwe ekpokpọ vwọ phia, kueranvwe kuoka, uchuru kugbe obo ri kpono kugbe eranvwe re djoma; deranvwe doka rayen. Ọ da ghene dia ọtiọye.","#Gen. 15:5; Jer. 33:20, 25"
"Ọghẹnẹ da ta, Gbe jẹn akpọ na vwẹ eranvwe ekpokpọ vwọ phia, kueranvwe kuoka, uchuru kugbe obo ri kpono kugbe eranvwe re djoma; deranvwe doka rayen. Ọ da ghene dia ọtiọye.","Gen. 15:5; Jer. 33:20, 25"
"25Ọghẹnẹ da ma eranvwe rẹ akpọ na, deranvwe doka rayen kugbe uchuru okoka rọye, kugbe emu kemu ri kpono vwẹ otọ na okoka rọye. Ọghẹnẹ da mrẹ nẹ oyoma.","heavens to give light on the earth,"
"Ọghẹnẹ da ma eranvwe rẹ akpọ na, deranvwe doka rayen kugbe uchuru okoka rọye, kugbe emu kemu ri kpono vwẹ otọ na okoka rọye. Ọghẹnẹ da mrẹ nẹ oyoma.","18and to#Jer. 31:35rule over the day and over the night, and to divide the light from the darkness. And God saw thatitwasgood."
"26Etiyin Ọghẹnẹ da ta, Gbe jẹn avwanre ma ohwo vwẹ oma rẹ avwanre, rọ họhọ avwanre, re ayen vwo ogangan vwẹ enu rẹ erin rẹ urhie, vwẹ enu rẹ ephran ri obenu, vwẹ enu rẹ uchuru, kugbe vwẹ enu rẹ akpọ na vẹ obo ri kpono vwẹ enu rẹ otọ na.",and to
"Etiyin Ọghẹnẹ da ta, Gbe jẹn avwanre ma ohwo vwẹ oma rẹ avwanre, rọ họhọ avwanre, re ayen vwo ogangan vwẹ enu rẹ erin rẹ urhie, vwẹ enu rẹ ephran ri obenu, vwẹ enu rẹ uchuru, kugbe vwẹ enu rẹ akpọ na vẹ obo ri kpono vwẹ enu rẹ otọ na.",#Jer. 31:35
"27Kọye Ọghẹnẹ da ma ohwo vwẹ oma rọye, oma rẹ Ọghẹnẹ ọye ọ vwọ ma ayen, ọshare vẹ aye ọ ma ayen.",Jer. 31:35
"Kọye Ọghẹnẹ da ma ohwo vwẹ oma rọye, oma rẹ Ọghẹnẹ ọye ọ vwọ ma ayen, ọshare vẹ aye ọ ma ayen.","rule over the day and over the night, and to divide the light from the darkness. And God saw that"
"28Etiyin Ọghẹnẹ da ta kẹ ayen, We vwiẹ ri we bun phihọ, re wa vọn akpọ na, ru we phio kparobọ, kugbe re we vwo ogangan vwẹ enu rẹ erin rẹ urhie, ephran ri obenu kugbe enu ri kemu kemu rọ yan vwe otọ na ejobi.",19So the evening and the morning were the fourth day.
"Etiyin Ọghẹnẹ da ta kẹ ayen, We vwiẹ ri we bun phihọ, re wa vọn akpọ na, ru we phio kparobọ, kugbe re we vwo ogangan vwẹ enu rẹ erin rẹ urhie, ephran ri obenu kugbe enu ri kemu kemu rọ yan vwe otọ na ejobi.",So the evening and the morning were the fourth day.
"29Ọghẹnẹ da ta, Nighe, Me reyọ urhe kurhe rọ mọn ubi ejobi rọ enu rẹ otọ na vwọ kẹ wẹ, kugbe urhe kurhe rọ mọn emamọ kọ dia emuọre kẹ ovwan.","20Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.”"
"Ọghẹnẹ da ta, Nighe, Me reyọ urhe kurhe rọ mọn ubi ejobi rọ enu rẹ otọ na vwọ kẹ wẹ, kugbe urhe kurhe rọ mọn emamọ kọ dia emuọre kẹ ovwan.","Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.”"
"30Eranvwe keranvwe rọ otọ na, ọphran kọphran rọ obenu, emu kemu ri kpono vwẹ enu rẹ otọ na, emu kemu ro vwo ẹnwẹn vwẹ otọ na, Me vwẹ ẹbe ọkpokpọ na re dia emuọre ke ayen. Ọ da ghene dia ọtiọye.","21So#Ps. 104:25–28God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw thatitwasgood."
"Eranvwe keranvwe rọ otọ na, ọphran kọphran rọ obenu, emu kemu ri kpono vwẹ enu rẹ otọ na, emu kemu ro vwo ẹnwẹn vwẹ otọ na, Me vwẹ ẹbe ọkpokpọ na re dia emuọre ke ayen. Ọ da ghene dia ọtiọye.",#Ps. 104:25–28
"31Ọghẹnẹ da mrẹ emu kemu rọ mare na, nighe, oyovwiri gangan Te ovwọnvwọn te irhiọke da dia ẹdẹ resan.",Ps. 104:25–28
"Ọghẹnẹ da mrẹ emu kemu rọ mare na, nighe, oyovwiri gangan Te ovwọnvwọn te irhiọke da dia ẹdẹ resan.","God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw that"
The History of Creation,"22And God blessed them, saying,#Gen. 8:17“Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.”"
1In the#Ps. 102:25; Is. 40:21; (John 1:1–3; Heb. 1:10)beginning#Gen. 2:4; (Ps. 8:3; 89:11; 90:2); Is. 44:24; Acts 17:24; Rom. 1:20; (Heb. 1:2; 11:3); Rev. 4:11God created the heavens and the earth.,"And God blessed them, saying,"
In the,#Gen. 8:17
#Ps. 102:25; Is. 40:21; (John 1:1–3; Heb. 1:10),Gen. 8:17
Ps. 102:25; Is. 40:21; (John 1:1–3; Heb. 1:10),"“Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.”"
beginning,23So the evening and the morning were the fifth day.
#Gen. 2:4; (Ps. 8:3; 89:11; 90:2); Is. 44:24; Acts 17:24; Rom. 1:20; (Heb. 1:2; 11:3); Rev. 4:11,So the evening and the morning were the fifth day.
Gen. 2:4; (Ps. 8:3; 89:11; 90:2); Is. 44:24; Acts 17:24; Rom. 1:20; (Heb. 1:2; 11:3); Rev. 4:11,"24Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth,eachaccording to its kind”; and it was so."
God created the heavens and the earth.,"Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth,"
"2The earth was#Jer. 4:23without form, and void; and darknesswason the face of the deep.#(Gen. 6:3); Job 26:13; Ps. 33:6; 104:30; Is. 40:13, 14And the Spirit of God was hovering over the face of the waters.",each
The earth was,according to its kind”; and it was so.
#Jer. 4:23,"25And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw thatitwasgood."
Jer. 4:23,"And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw that"
"without form, and void; and darkness","26Then God said,#Gen. 9:6; Ps. 100:3; Eccl. 7:29; (Eph. 4:24); James 3:9“Let Us make man in Our image, according to Our likeness;#Gen. 9:2; Ps. 8:6–8let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth.”"
was,#Gen. 9:6; Ps. 100:3; Eccl. 7:29; (Eph. 4:24); James 3:9
on the face of the deep.,Gen. 9:6; Ps. 100:3; Eccl. 7:29; (Eph. 4:24); James 3:9
"#(Gen. 6:3); Job 26:13; Ps. 33:6; 104:30; Is. 40:13, 14","“Let Us make man in Our image, according to Our likeness;"
"(Gen. 6:3); Job 26:13; Ps. 33:6; 104:30; Is. 40:13, 14",#Gen. 9:2; Ps. 8:6–8
And the Spirit of God was hovering over the face of the waters.,Gen. 9:2; Ps. 8:6–8
"3#Ps. 33:6, 9Then God said,#2 Cor. 4:6“Let there be#(Heb. 11:3)light”; and there was light.","let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth.”"
"#Ps. 33:6, 9",27So God created man#Gen. 5:2; 1 Cor. 11:7in Hisownimage; in the image of God He created him;#Matt. 19:4; (Mark 10:6–8)male and female He created them.
"Ps. 33:6, 9",So God created man
"Then God said,",#Gen. 5:2; 1 Cor. 11:7
#2 Cor. 4:6,Gen. 5:2; 1 Cor. 11:7
2 Cor. 4:6,in His
“Let there be,own
#(Heb. 11:3),image; in the image of God He created him;
(Heb. 11:3),#Matt. 19:4; (Mark 10:6–8)
light”; and there was light.,Matt. 19:4; (Mark 10:6–8)
"4And God saw the light, thatitwasgood; and God divided the light from the darkness.",male and female He created them.
"And God saw the light, that","28Then God blessed them, and God said to them,#Gen. 9:1, 7; Lev. 26:9“Be fruitful and multiply; fill the earth and#1 Cor. 9:27subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.”"
good; and God divided the light from the darkness.,"Then God blessed them, and God said to them,"
"5God called the light Day, and the#Job 37:18; Ps. 19:2; 33:6; 74:16; 104:20; 136:5; Jer. 10:12darkness He called Night. So the evening and the morning were the first day.","#Gen. 9:1, 7; Lev. 26:9"
"God called the light Day, and the","Gen. 9:1, 7; Lev. 26:9"
#Job 37:18; Ps. 19:2; 33:6; 74:16; 104:20; 136:5; Jer. 10:12,“Be fruitful and multiply; fill the earth and
Job 37:18; Ps. 19:2; 33:6; 74:16; 104:20; 136:5; Jer. 10:12,#1 Cor. 9:27
darkness He called Night. So the evening and the morning were the first day.,1 Cor. 9:27
"6Then God said,#Job 37:18; Jer. 10:12; 2 Pet. 3:5“Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.”","subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.”"
#Job 37:18; Jer. 10:12; 2 Pet. 3:5,"29And God said, “See, I have given you every herbthatyields seed whichison the face of all the earth, and every tree whose fruit yields seed;#Gen. 9:3; Ps. 104:14, 15to you it shall be for food."
Job 37:18; Jer. 10:12; 2 Pet. 3:5,"And God said, “See, I have given you every herb"
"“Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.”",yields seed which
"7Thus God made the firmament,#Job 38:8–11; Prov. 8:27–29and divided the waters whichwereunder the firmament from the waters whichwere#Ps. 148:4above the firmament; and it was so.","on the face of all the earth, and every tree whose fruit yields seed;"
"Thus God made the firmament,","#Gen. 9:3; Ps. 104:14, 15"
#Job 38:8–11; Prov. 8:27–29,"Gen. 9:3; Ps. 104:14, 15"
Job 38:8–11; Prov. 8:27–29,to you it shall be for food.
and divided the waters which,"30Also, to#Ps. 145:15every beast of the earth, to every#Job 38:41bird of the air, and to everything that creeps on the earth, in whichthereislife,Ihavegivenevery green herb for food”; and it was so."
were,"Also, to"
under the firmament from the waters which,#Ps. 145:15
#Ps. 148:4,Ps. 145:15
Ps. 148:4,"every beast of the earth, to every"
above the firmament; and it was so.,#Job 38:41
8And God called the firmament Heaven. So the evening and the morning were the second day.,Job 38:41
And God called the firmament Heaven. So the evening and the morning were the second day.,"bird of the air, and to everything that creeps on the earth, in which"
"9Then God said,#Job 26:10; Ps. 104:6–9; Prov. 8:29; Jer. 5:22; 2 Pet. 3:5“Let the waters under the heavens be gathered together into one place, and#Ps. 24:1, 2; 33:7; 95:5let the drylandappear”; and it was so.",there
#Job 26:10; Ps. 104:6–9; Prov. 8:29; Jer. 5:22; 2 Pet. 3:5,"life,"
Job 26:10; Ps. 104:6–9; Prov. 8:29; Jer. 5:22; 2 Pet. 3:5,have
"“Let the waters under the heavens be gathered together into one place, and",given
"#Ps. 24:1, 2; 33:7; 95:5",every green herb for food”; and it was so.
"Ps. 24:1, 2; 33:7; 95:5","31Then#(Ps. 104:24; 1 Tim. 4:4)God saw everything that He had made, and indeeditwasvery good. So the evening and the morning were the sixth day."
let the dry,Then
land,#(Ps. 104:24; 1 Tim. 4:4)
appear”; and it was so.,(Ps. 104:24; 1 Tim. 4:4)
"10And God called the drylandEarth, and the gathering together of the waters He called Seas. And God saw thatitwasgood.","God saw everything that He had made, and indeed"
Search,"9And out of the ground theLordGod made#Ezek. 31:8every tree grow that is pleasant to the sight and good for food.#(Gen. 3:22; Rev. 2:7; 22:2, 14)The tree of lifewasalso in the midst of the garden, and the tree of the knowledge of good and#(Deut. 1:39)evil."
1Kẹnẹ a ma odjuvwu vẹ akpọ kugbe obo re vọnrọ ejobi wan.,And out of the ground the
Kẹnẹ a ma odjuvwu vẹ akpọ kugbe obo re vọnrọ ejobi wan.,God made
"2Vwẹ ẹdẹ rẹ ighwrẹ iruo rẹ emama rẹ Ọghẹnẹ ruru ejobi de rhi re, o de rovwoma vwẹ ẹdẹ rẹ ighwrẹ na vwẹ enu rẹ iruo ro ruru.",#Ezek. 31:8
"Vwẹ ẹdẹ rẹ ighwrẹ iruo rẹ emama rẹ Ọghẹnẹ ruru ejobi de rhi re, o de rovwoma vwẹ ẹdẹ rẹ ighwrẹ na vwẹ enu rẹ iruo ro ruru.",Ezek. 31:8
"3Ọtiọye Ọghẹnẹ de bruphihọ ẹdẹ rẹ ighwrẹ na, ọ da vwẹ ọghọ kẹ, fikiridie ẹdẹ yena Ọghẹnẹ vwo rovwoma vwẹ enu rẹ iruo ro ruru vwẹ emama rọye.",every tree grow that is pleasant to the sight and good for food.
"Ọtiọye Ọghẹnẹ de bruphihọ ẹdẹ rẹ ighwrẹ na, ọ da vwẹ ọghọ kẹ, fikiridie ẹdẹ yena Ọghẹnẹ vwo rovwoma vwẹ enu rẹ iruo ro ruru vwẹ emama rọye.","#(Gen. 3:22; Rev. 2:7; 22:2, 14)"
"4Enana keye uvwiẹ rẹ odjuvwu vẹ akpọ vwẹ ọke ra vwọ ma ayen. Vwẹ ẹdẹ rẹ Ọrovwohwo Ọghẹnẹ vwọ ma akpọ vẹ odjuvwu nu,","(Gen. 3:22; Rev. 2:7; 22:2, 14)"
"Enana keye uvwiẹ rẹ odjuvwu vẹ akpọ vwẹ ọke ra vwọ ma ayen. Vwẹ ẹdẹ rẹ Ọrovwohwo Ọghẹnẹ vwọ ma akpọ vẹ odjuvwu nu,",The tree of life
"5Vwẹ ọke rẹ okankọn vuọvo je djẹ vwẹ aghwa na eyẹ odi vuọvo je djẹ phiaa– kidie Ọrovwohwo Ọghẹnẹ je rhọ osio phihọ akpọ na-a, yẹ ohwo je dia ro voro otọ na-a;","also in the midst of the garden, and the tree of the knowledge of good and"
"Vwẹ ọke rẹ okankọn vuọvo je djẹ vwẹ aghwa na eyẹ odi vuọvo je djẹ phiaa– kidie Ọrovwohwo Ọghẹnẹ je rhọ osio phihọ akpọ na-a, yẹ ohwo je dia ro voro otọ na-a;",#(Deut. 1:39)
6ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi–,(Deut. 1:39)
ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi–,evil.
"7kọye Ọrovwohwo Ọghẹnẹ da vwẹ ekpẹn rẹ otọ na vwọ ma ohwo, ọ da wẹn ẹwẹn rẹ arhọ na phihọ iwen rọye, ohwo de hirhe ohwo ọkpokpọ.","10Now a river went out of Eden to water the garden, and from there it parted and became four riverheads."
"kọye Ọrovwohwo Ọghẹnẹ da vwẹ ekpẹn rẹ otọ na vwọ ma ohwo, ọ da wẹn ẹwẹn rẹ arhọ na phihọ iwen rọye, ohwo de hirhe ohwo ọkpokpọ.","Now a river went out of Eden to water the garden, and from there it parted and became four riverheads."
Udju rẹ Idẹn,"11The name of the firstisPishon; itisthe one which skirts#Gen. 25:18the whole land of Havilah, wherethereisgold."
"8Ọrovwohwo Ọghẹnẹ de voro udju phihọ Idẹn vwẹ ẹbẹre rẹ ọnre da vacha, kẹ Etiyin o phi ohwo rọ mare na phihọ.",The name of the first
"Ọrovwohwo Ọghẹnẹ de voro udju phihọ Idẹn vwẹ ẹbẹre rẹ ọnre da vacha, kẹ Etiyin o phi ohwo rọ mare na phihọ.",Pishon; it
"9Vwẹ evun rẹ otọ na kọye Ọrovwohwo Ọghẹnẹ tare nẹ urhe kurhe ro yovwiri, fẹro ji fẹriọ gba djẹrhe, urhe rẹ arhọ na rọ ji uherevie rẹ udju na, kugbe urhe rẹ erianriẹn rẹ erhuvwu vẹ umiovwo.",the one which skirts
"Vwẹ evun rẹ otọ na kọye Ọrovwohwo Ọghẹnẹ tare nẹ urhe kurhe ro yovwiri, fẹro ji fẹriọ gba djẹrhe, urhe rẹ arhọ na rọ ji uherevie rẹ udju na, kugbe urhe rẹ erianriẹn rẹ erhuvwu vẹ umiovwo.",#Gen. 25:18
"10Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹne.",Gen. 25:18
"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹne.","the whole land of Havilah, where"
"11Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;",gold.
"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;",12And the gold of that landisgood.#Num. 11:7Bdellium and the onyx stonearethere.
12oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.,And the gold of that land
oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.,good.
"13Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush.",#Num. 11:7
"Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush.",Num. 11:7
"14Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis.",Bdellium and the onyx stone
"Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis.",are
15Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.,there.
Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.,13The name of the second riverisGihon; itisthe one which goes around the whole land of Cush.
"16Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;",The name of the second river
"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;",Gihon; it
